Cluster,m/z_ion_center,DT_center,Retention Time (sec)_center,Peak Intensity,Amplitude_mz,Amplitude_dt,Amplitude_rt,Sigma_rt
215,1025.5722111020625,8.252562908248452,20.688499999999994,1335.0,1335.0,1509.5252777493954,1336.2696222607644,29.138437237067727
216,110.07168397852439,8.738398479969227,16.87699999998,747.0,747.0,747.0000007979977,747.0,0.0
217,229.2111634535322,8.858100251704245,16.87699999998,24.0,24.0,24.00000001832478,24.0,0.0
218,229.153283935337,9.496547127949636,16.87699999998,243.0,243.0,243.00000018200467,243.0,0.0
219,244.14926040242676,9.915481333333501,16.87699999998,98.0,98.0,98.0,98.0,0.0
220,244.16012227239855,10.015199999999748,16.87699999998,315.0,315.0,315.0000004720525,315.0,0.0
221,674.3703708288175,10.533999858363185,16.87699999998,264.0,264.0,264.00000093934756,264.0,0.0
222,674.3523190145779,10.713027066211257,22.380583783574743,1991.0,1991.0,2044.2043513585763,1998.641455351745,3.1492947498697164
223,674.4245277212144,10.773400000617926,16.87699999998,36.0,36.0,36.000000054712366,36.0,0.0
224,217.12465529853844,11.132500069777235,20.6885,174.0,174.0,174.00000027437125,180.01623039841363,4.872738706869468
225,229.17433019373746,11.491600000635348,16.87699999998,66.0,66.0,66.00000008482654,66.0,0.0
226,169.1332523862076,12.449199999999633,16.87699999998,321.0,321.0,321.0000003722215,321.0,0.0
227,227.10591451149938,12.56890215736887,20.688499999999994,789.0,789.0,789.0000003574414,790.1279571159212,23.768786178463078
228,229.20590139343136,12.708549999999999,20.688499999999998,26.0,26.0,26.016295865625143,28.3532010492967,3.0520520407263696
229,245.1658900849714,12.928000001924202,18.19071427827305,441.0,441.0,440.70986876166234,441.0,1.2704999999999984
230,169.1513335839046,13.167400000417793,16.87699999998,6.0,6.0,6.000000008144884,6.0,0.0
231,244.1764155469356,13.30902537651762,16.87699999998,31.0,31.0,31.0,31.0,0.0
232,229.15328393533696,13.40679999420605,16.87699999998,378.0,378.0,378.0000003075977,378.0,0.0
233,215.1369658860304,13.433974487677588,20.305668662246156,1645.0,1645.0,2100.687333167895,1793.8941510950435,2.0390689189828213
234,244.1275373873213,13.96880015860937,16.87699999998,383.0,383.0,365.90955148004934,383.0,0.0
235,229.20590139343136,14.125100271022411,16.87699999998,12.0,12.0,12.000000018440108,12.0,0.0
236,758.4045237512761,14.4642333333335,16.87699999998,80.0,80.0,80.0,80.0,0.0
237,245.1604479287375,14.517522640680172,18.147499964577715,222.0,222.0,238.68277822356626,222.0,2.2868999999999975
238,213.12289670939805,14.963000001720141,20.83902371021539,702.0,702.0,701.8328576097168,715.9221741614293,5.6512500054930594
239,244.1275373873213,15.113975209121556,20.6779213363379,5214.0,5214.0,5529.794965980057,5460.7826105250515,4.142828770536648
240,244.16012227239852,15.213549281516267,21.36919684934442,1078.0,1078.0,1078.0,1083.9517881651589,5.323539804942092
241,244.1492604024268,15.328001921391623,16.87699999998,694.0,694.0,792.665641541728,694.0,0.0
242,244.13296806705281,15.358497110626818,19.112806993667498,2606.0,2606.0,2550.0008329157167,2606.0,2.5409999999999986
243,314.16759972214294,15.68119988795035,18.154294110195732,561.0,561.0,560.9403206268167,561.0,1.2704999999999984
244,213.11274868325845,15.9006813333335,16.87699999998,136.0,136.0,136.0,136.0,0.0
245,244.1329680670528,16.020385333333504,16.87699999998,334.0,334.0,334.0,334.0,0.0
246,244.16012227239852,16.1799906666665,16.87699999998,350.0,350.0,350.0,350.0,0.0
